,Topic,Count,Name,Representation,KeyBERT,MMR,pos,Representative_Docs
0,-1,3912,-1_and_the_to_we,"['and', 'the', 'to', 'we', 'hotel', 'was', 'of', 'in', 'with', 'for']","['hotel', 'hotels', 'rooms', 'room', 'restaurant', 'stayed', 'comfortable', 'night', 'service', 'location']","['and', 'the', 'to', 'we', 'hotel', 'was', 'of', 'in', 'with', 'for']","['hotel', 'room', 'service', 'stay', 'nice', 'location', 'day', 'excellent', 'business', 'view']","[""Having done a great deal of research about New York hotels and prices, we were expecting very little for our money but the Suite at the Setai surpassed all expectations, it was a really good size, with a seperate lounge area, walk in wardrobe and huge bathroom, with a large walk in shower, very large luxurious bath, oh yes and 3 TV's one of which was in the bathroom mirror! Our personal assistant Eugenie was exceptional!, As we were there for a special occasion we had been in contact with Eugenia for a good few weeks prior to our arrival to help us with restaurant recommendations and bookings, as well as other sightseeing and tour information"", 'We just returned after a six nights stay in Chicago, our room was on the 16th Floor but unfortunately we did not have a good view, room was a cornor room so was really spacious and very comfortable, Staff were very friendly and helpful, you could hear the sirens from the nearby fire station but the noise didnt bother me and I am a rather light sleeper, Its handy that there was an I phone charger in the room for me to use, Room service was great,The hotel is in a great location for shopping and sight seeing so I would recommend this hotel', 'When we arrived at the hotel we were greeted by the staff with a ""welcome to your home for the next 3 nights"" This certainly was what the hotel felt like, the service was excellent but the room just felt like we had arrived and was as close to home as you can get when staying in a hotel room']"
1,0,451,0_location_shopping_walk_walking,"['location', 'shopping', 'walk', 'walking', 'distance', 'restaurants', 'close', 'street', 'is', 'place']","['downtown', 'location', 'near', 'located', 'place', 'midtown', 'mall', 'restaurants', 'central', 'avenue']","['location', 'shopping', 'walk', 'walking', 'distance', 'restaurants', 'close', 'street', 'is', 'place']","['location', 'shopping', 'walk', 'distance', 'restaurants', 'street', 'place', 'great', 'easy', 'mall']","['Close to great shopping and restaurants this is the place to stay', 'Great location, close to many restaurants and shopping', 'The location is close to Central Park (Walking distance)']"
2,1,353,1_de_et_le_est,"['de', 'et', 'le', 'est', 'la', 'und', 'un', 'les', 'pour', 'au']","['hôtel', 'pas', 'dans', 'une', 'bien', 'être', 'de', 'le', 'petit', 'sur']","['de', 'et', 'le', 'est', 'la', 'und', 'un', 'les', 'pour', 'au']","['et', 'und', 'pour', 'au', 'très', 'vous', 'sont', 'chambres', 'personnel', 'étage']","[""Bonjour, J'ai séjourné dans cette hôtel en aout 2012 , je vous le recommande fortement emplacement et situation geographique parfaite , le servie de l'hôtel est au dessus de la moyenne, un personnel qui est aux petits soins avec la clientèle"", ""La grande dame de cuivre, les grattes-ciels aux muscles d'acier, Central Park, vous m'avez reconnu : New York la cosmopolite, la foisonnante, la passionnante ! Logés au Chatwal sur la 44e rue entre la sixième et septième avenue, une adresse de choix : merci à Christine pour son accueil, et à Michael pour tous les petits services qui facilitent le quotidien dans un tel hôtel ! Un cadre frais et reposant dans une ville tourbillonnante ! Hôtel dans le style art déco qui va si bien à New York !"", ""Pou commencer L'hotel est bien place a deux pas du beverly center La deco signe starck ressemble plus a son show room qu a un interieur amenage par un createur La suite est grande et belle le personnel de chambre est serviable et souriant un bon point ! Le petit dejeuner est cher et peu copieux le buffet remplis a peine une petite table La piscine est mal amenage on peut se retrouver nez a nez face a face avec d autre client de l hotel pas forcement agreable De plus la piscine ne dispose pas de douche ce qui peut expliquer la couleur de l eau pleine d'huile solaire Service voiturier et parking tres efficace tout comme le concierge Donc un bon hotel mais trop cher pour ses prestations et sa petite piscine""]"
3,2,352,2_experience_say_it_overall,"['experience', 'say', 'it', 'overall', 'expectations', 'thank', 'not', 'really', 'disappointed', 'nothing']","['experience', 'overall', 'wonderful', 'amazing', 'great', 'thank', 'very', 'loved', 'love', 'thanks']","['experience', 'say', 'it', 'overall', 'expectations', 'thank', 'not', 'really', 'disappointed', 'nothing']","['experience', 'overall', 'expectations', 'impressed', 'short', 'feeling', 'amazing', 'things', 'disappointment', 'high']","['Overall a great experience', 'it was really a wonderful experience', 'Overall, just a really nice experience']"
4,3,309,3_shower_bathroom_tub_bath,"['shower', 'bathroom', 'tub', 'bath', 'toilet', 'marble', 'separate', 'bathrooms', 'large', 'soaking']","['bathrooms', 'bathroom', 'shower', 'bath', 'bathtub', 'showers', 'tub', 'baths', 'rooms', 'toilet']","['shower', 'bathroom', 'tub', 'bath', 'toilet', 'marble', 'separate', 'bathrooms', 'large', 'soaking']","['shower', 'bathroom', 'tub', 'bath', 'toilet', 'marble', 'separate', 'bathrooms', 'large', 'bathtub']","['Bathroom has separate bath and shower', 'The bathroom was spacious with a separate tub and shower', 'The bathroom was large with great shower']"
5,4,237,4_view_floor_views_room,"['view', 'floor', 'views', 'room', 'harbor', 'on', 'park', 'corner', 'of', 'city']","['harbor', 'view', 'rooms', 'room', 'balcony', 'views', 'bedroom', 'breathtaking', 'buildings', 'bay']","['view', 'floor', 'views', 'room', 'harbor', 'on', 'park', 'corner', 'of', 'city']","['view', 'floor', 'views', 'room', 'harbor', 'park', 'corner', 'city', 'rooms', 'suite']","['Great view of the harbor', 'We got a room with a view - and from our room on the 36th floor the view was fantastic', 'The higher the floor the better the view! Boston harbor on one side and city views on the other']"
6,5,233,5_seasons_four_baltimore_regis,"['seasons', 'four', 'baltimore', 'regis', 'at', 'st', 'season', 'expect', 'stayed', 'francisco']","['seasons', 'season', 'summer', 'nights', 'four', 'night', 'year', 'chicago', 'regis', 'three']","['seasons', 'four', 'baltimore', 'regis', 'at', 'st', 'season', 'expect', 'stayed', 'francisco']","['seasons', 'baltimore', 'best', 'experience', 'stay', 'property', 'nights', 'high', 'hotel', 'last']","['Four Seasons Chicago', 'Four seasons are the best !', 'Four Seasons']"
7,6,223,6_staff_friendly_helpful_very,"['staff', 'friendly', 'helpful', 'very', 'professional', 'attentive', 'were', 'extremely', 'and', 'always']","['staff', 'friendly', 'welcoming', 'pleasant', 'polite', 'seemed', 'members', 'courteous', 'manager', 'management']","['staff', 'friendly', 'helpful', 'very', 'professional', 'attentive', 'were', 'extremely', 'and', 'always']","['staff', 'friendly', 'helpful', 'professional', 'attentive', 'warm', 'efficient', 'home', 'stay', 'smile']","['The staff is very friendly and helpful', 'Staff was very friendly and helpful', 'Staff was friendly and very helpful']"
8,7,221,7_pool_area_swimming_small,"['pool', 'area', 'swimming', 'small', 'gym', 'kids', 'the', 'is', 'indoor', 'pools']","['pool', 'pools', 'poolside', 'swimming', 'swim', 'tub', 'area', 'facilities', 'water', 'gym']","['pool', 'area', 'swimming', 'small', 'gym', 'kids', 'the', 'is', 'indoor', 'pools']","['pool', 'area', 'swimming', 'small', 'gym', 'kids', 'pools', 'indoor', 'beautiful', 'water']","['Pool was nice but small', 'The gym and pool are amazing, the pool has a beautiful view!', 'No pool']"
9,8,199,8_nyc_york_new_ny,"['nyc', 'york', 'new', 'ny', 'chatwal', 'in', 'to', 'visit', 'this', 'manhattan']","['nyc', 'manhattan', 'york', 'ny', 'hotel', 'hotels', 'visiting', 'city', 'london', 'place']","['nyc', 'york', 'new', 'ny', 'chatwal', 'in', 'to', 'visit', 'this', 'manhattan']","['new', 'hotel', 'time', 'trip', 'next', 'city', 'first', 'lot', 'daughter', 'family']","['This was our first time in New York', ""but that's NYC"", 'I will definitely be a return guest at The London NYC on my next trip to New York']"
