sentence_split_ID,sentence_split_text
0_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,decent room affordable price downtown seattle went visit friend seattle mid-september game husky stadium
1_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,chose place looking various websites affordable hotel room downtown
2_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,place fit bill.the room average typical midgrade hotel
3_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,clean
4_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,real downside walls did not hold sound outside
5_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,heard lot noise rooms outside
6_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,fortunately slept well.the staff nice willing hold bags hours checked out.there restaurant hotel ate breakfast food pretty good.this hotel 3 blocks westlake center terminus s lake union streetcar monorail seattle center space needle area
7_85356f1caca213f8070e9f128f403445f559160d002dd4bb86d07fa1fd2d5ed2,blocks pike place market hill
0_73b5e62482dfc472b230d3fb59817d9d8f9a1d75d4720530d2b6b3b56dd9745e,great location laughable rooms booked flights seattle package got great deal
1_73b5e62482dfc472b230d3fb59817d9d8f9a1d75d4720530d2b6b3b56dd9745e,660 people nights airfare did n't choice stay
2_73b5e62482dfc472b230d3fb59817d9d8f9a1d75d4720530d2b6b3b56dd9745e,hotel old kind stinky
3_73b5e62482dfc472b230d3fb59817d9d8f9a1d75d4720530d2b6b3b56dd9745e,refused elevator bit decrepit smelled vomit stairways smelled like pee room quite clean bare
4_73b5e62482dfc472b230d3fb59817d9d8f9a1d75d4720530d2b6b3b56dd9745e,walked city times location hotel superb
5_73b5e62482dfc472b230d3fb59817d9d8f9a1d75d4720530d2b6b3b56dd9745e,belltown tons cute places eat drink right downtown plethora chain clothing stores
6_73b5e62482dfc472b230d3fb59817d9d8f9a1d75d4720530d2b6b3b56dd9745e,n't know stay certainly sufficient low budget minute long weekend trip
0_1dafc39551aa39a782f1ca3b445b393b619f3f0d9d9040ebfb162686caba2046,great cozy hoitel location great right westin mcdonalds walking distance downtown monorail
1_1dafc39551aa39a782f1ca3b445b393b619f3f0d9d9040ebfb162686caba2046,outside looks like older small motel inside good mid-level think holiday inn
2_1dafc39551aa39a782f1ca3b445b393b619f3f0d9d9040ebfb162686caba2046,resturant bit pricy food good quality atmosphere great wood burning fireplace
3_1dafc39551aa39a782f1ca3b445b393b619f3f0d9d9040ebfb162686caba2046,nice place gray day seattle.i booked airline milage points highly reccommend
0_4d42f5282be4459f579caa36f3f440b60124498bf643d9563b6223a0a768ccf0,not bad price great bargain downtown seattle.it old clean little noisy
1_4d42f5282be4459f579caa36f3f440b60124498bf643d9563b6223a0a768ccf0,location great
2_4d42f5282be4459f579caa36f3f440b60124498bf643d9563b6223a0a768ccf0,staff friendlly
3_4d42f5282be4459f579caa36f3f440b60124498bf643d9563b6223a0a768ccf0,able leave car parking lot hours checked real nice bonus
4_4d42f5282be4459f579caa36f3f440b60124498bf643d9563b6223a0a768ccf0,just need place sleep night bargain price
5_4d42f5282be4459f579caa36f3f440b60124498bf643d9563b6223a0a768ccf0,want amenities
6_4d42f5282be4459f579caa36f3f440b60124498bf643d9563b6223a0a768ccf0,stay
0_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,walk pike place market breakfast seattle native pleased bid win sixth avenue inn onpriceline
1_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,motel just motel right middle downtown seattle
2_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,think remember seattle world fairin 1962
3_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,bit dated bathroom did n't shelf space imo overlook type thing amazing safe location
4_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,think returned 60 drive easy access i-5 important location unbeatable no long waits elevators walks endless lobbies
5_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,poof door way pike place market belltown downtown monorail
6_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,pro football baseball venues 15 min bus ride south
7_41d7b1512f25e34d288b659be4691b2d33212abeda30157ceea72a6b99d7103f,exploring downtown seattle goal want play dollarsinstead paying high rise view try motel
0_857c6961599e6e97d2eccb78b8f22f034a234521cc3c7ec10f7dcadd2ce22238,come n't understand bad reviews
1_857c6961599e6e97d2eccb78b8f22f034a234521cc3c7ec10f7dcadd2ce22238,hotel simple got exactly need nice confortable bed clean bathroom excellent price
2_857c6961599e6e97d2eccb78b8f22f034a234521cc3c7ec10f7dcadd2ce22238,near walked pike place market monorail
0_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,not book false information family just finished 7-day alaskan cruise
1_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,looking hotel seattle wa shuttle service pier hotel hotel airport place leave luggage 5-6 hrs went site seeing downtown
2_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,booking company particular hotel assured criteria met hotel booked room just store luggage 115
3_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,ended no travel accomodations hotel airport
4_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,ended having 2 taxis destinations
5_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,needless say angry extra 80 hotel
6_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,hotel manager not available phone
7_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,customer service reps finally got called 5-6 times sent email website
8_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,matter resolved hopefully
9_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,said reimburse taxi fares believe
10_57593b7d87a3183ef8bb7e2948816414846ed234636ba35fe1df3e80c6e604b2,advice situation grab taxi airport 30 flat fee downtown seatac airport check luggage early ride-on bus downtown 1.50 way seniors free kids
